Vocabulary	Type	Phonetic	Definition	Example	Synonym	Antonym	Vietnamese
percentage	noun	/pəˈsentɪdʒ/	the number, amount or rate of something, expressed as if it is part of a total that is 100; a part or share of a whole	A high percentage of the female staff are part-time workers.			tỉ lệ phần trăm
Schedule	noun	/ˈskedʒuːl/	a plan that lists all the work that you have to do and when you must do each thing	We're working to a tight schedule			lịch trình, kế hoạch
correspondent	noun	/ˌkɔːrəˈspɑːndənt/	a person who reports news from a particular country or on a particular subject for a newspaper or a television or radio station	She's the BBC's political correspondent			phóng viên
millennial	noun	/mɪˈleniəl/	a person who was born between the early 1980s and the late 1990s; a member of Generation Y	Many millennials love technology			thế hệ millennials
blame	verb	/bleɪm/	​to think or say that somebody/something is responsible for something bad	I'm being blamed for everything.			đổ lỗi, chỉ trích
apparently	adv	/əˈpærəntli/	according to what you have heard or read; according to the way something appears	Apparently, they came here			rõ ràng là, có vẻ như
slightly	adv	/ˈslaɪtli/	a little	I have a slightly different version			hơi, một chút
memo	noun	/ˈmeməʊ/	an official note from one person to another in the same organization	I never got this memo			thông báo nội bộ
present	adj	/ˈpreznt/	(of a person) being in a particular place	I wasn’t present when the doctor examined him.			có mặt, hiện diện
perhaps	adv	/pərˈhæps/	possibly	Are you going to come?’ ‘Perhaps. I'll see how I feel.’	maybe		có lẽ, có thể
tend	verb	/tend/	tend to do something to be likely to do something or to happen in a particular way because this is what often or usually happens	Women tend to live longer than men.			có xu hướng
productive	adj	/prəˈdʌktɪv/	doing or achieving a lot	i had a productive meeting			năng suất, hiệu quả
encourage	verb	/ɪnˈkɜːrɪdʒ/	to give somebody support, courage or hope	I was encouraged			khuyến khích
sense	noun	/sens/	a feeling about something important	I have a sense that you should come home			cảm giác, ý thức
predict	verb	/prɪˈdɪkt/	to say that something will happen in the future	Nobody could predict this war's outcome			dự đoán
optimize	verb	/ˈɑːptɪmaɪz/	optimize something to make something as good as it can be; to use something in the best possible way	I optimized my workflow			tối ưu hóa
approach	noun	/əˈprəʊtʃ/	a way of dealing with somebody/something; a way of doing or thinking about something such as a problem or a task	She took the wrong approach in her dealings with them.			cách tiếp cận
transparent	adj	/trænsˈpærənt/	easy to understand	a campaign to make official documents more transparent			minh bạch, rõ ràng
norm	noun	/nɔːrm/	a situation or a pattern of behaviour that is usual or expected	The norm was set in my workplace			chuẩn mực
collaborative	adj	/kəˈlæbəreɪtɪv/	involving, or done by, several people or groups of people working together	i have a collaborative project with my friends			hợp tác, cộng tác
accomplish	verb	/əˈkɑːmplɪʃ/	to succeed in doing or completing something	I need more focus to accomplish tasks.			hoàn thành, đạt được
consequence	noun	/ˈkɑːnsɪkwens/	a result of something that has happened, especially an unpleasant result				hậu quả
hurt	verb	/hɜːrt/	to have a bad effect on somebody/something	the rain hurt my mood			gây hại, làm đau
amorphous	adj	/əˈmɔːrfəs/	having no definite shape, form or structure		shapeless		vô định hình
incredibly	adv	/ɪnˈkredəbli/	extremely important or necessary				vô cùng, cực kỳ
gauge	noun	/ɡeɪdʒ/	an instrument for measuring the amount or level of something	all car have fuel gauges			đồng hồ đo, thước đo
incentivize	verb	/ɪnˈsentɪvaɪz/	to encourage somebody to behave in a particular way by offering them a reward				tạo động lực
incongruity	noun	/ˌɪnkənˈɡruːəti/	the fact of being strange and not suitable in a situation	This incongruity was a huge source of stress			sự không phù hợp
alleviate	verb	/əˈliːvieɪt/	to make something less severe				giảm bớt, làm dịu
boon	noun	/buːn/	something that is very helpful and makes life easier for you				điều may mắn, lợi ích
equate	verb	/ɪˈkweɪt/	to think that something is the same as something else or is as important				đánh đồng, coi ngang bằng
burnout	noun	/ˈbɜːnaʊt/	the state of being extremely tired or ill, either physically or mentally, because you have worked too hard				kiệt sức
turnover	noun	ˈtɜːrnəʊvər/	he rate at which employees leave a company and are replaced by other people				tỉ lệ thay thế nhân sự
shoehorn	verb	/ˈʃuːhɔːn/	to succeed in putting something into a small space or a place where it does not fit very easily	The managers are shoehorning their employees into ineffective meetings			nhét vào, cố nhồi nhét
strict	adj	/strɪkt/	that must be obeyed exactly				nghiêm ngặt
effort	noun	/ˈefərt/	an attempt to do something especially when it is difficult to do				nỗ lực, cố gắng
orchestrate	verb	/ˈɔːrkɪstreɪt/	to organize a complicated plan or event very carefully or secretly				sắp xếp, điều phối
concern	verb	/kənˈsəːn/	to have to do with	This order doesn't concern me			liên quan đến
extreme	adj	/ikˈstriːm/	very great, especially much more than usual	He is in extreme pain			cực đoan, rất nhiều
curious	adj	/ˈkjuəriəs/	having a strong desire to know about something	He is such a curious boy, always asking questions.			tò mò
intrigued	adj	/ɪnˈtriːɡd/	very interested in something/somebody and wanting to know more about it/them	He was intrigued by her story.			tò mò, bị thu hút
reflect	verb	/rɪˈflekt/	to think carefully and deeply about something	Before I decide, I need time to reflect.			suy ngẫm, phản chiếu
scholastic	adj	/skəˈlæstɪk/	connected with schools and education				thuộc về học đường
staggering	adj	/ˈstæɡərɪŋ/	so great, shocking or surprising that it is difficult to believe	They paid a staggering £5 million for the house.	astounding		choáng ngợp, kinh ngạc
due	adj	/djuː/	caused by somebody/something; because of somebody/something (due to somebody/something)	The team's success was largely due to her efforts.			do, vì, nhờ
afford	verb	/əˈfɔːd/	to have enough money to be able to buy or do something	She can well afford to pay for herself.			có đủ tiền để
forbid	verb	/fəˈbɪd/	to order somebody not to do something; to order that something must not be done	You cannot do that. I absolutely forbid it.		allow, permit	cấm
insist	verb	/ɪnˈsɪst/	to demand that something happen or that somebody agree to do something				khăng khăng, nhấn mạnh
statement	noun	/ˈsteɪtmənt/	something that you say or write that gives information or an opinion				tuyên bố, phát biểu
climb	verb	/klaɪm/	to increase in value or amount	The number of new hospital admissions continues to climb			leo trèo, trèo lên
significantly	adv	/sɪɡˈnɪfɪkəntli/	in a way that is large or important enough to have an effect on something or to be noticed				đáng kể, rõ rệt
disease	noun	/dɪˈziːz/	an illness affecting humans, animals or plants, often caused by infection	In 19th-century England, infectious diseases were the principal cause of death.			bệnh tật
prevention	noun	/prɪˈvenʃn/	the act of stopping something bad from happening				phòng ngừa
hospitalization	noun	/ˌhɒspɪtəlaɪˈzeɪʃn/	the fact of having to stay in a hospital for treatment				nhập viện
positive	noun	/ˈpɒzətɪv/	the result of a test or an experiment that shows that a substance or condition is present	The result can be a positive			tích cực
spread	noun	/spred/	an increase in the amount or number of something that there is, or in the area that is affected by something	The measures to halt the spread of the disease			lan rộng, lây lan
authority	noun	/ɔːˈθɒrəti/	the people or an organization who have the power to make decisions or who have a particular area of responsibility in a country or region	I have to report this to the authorities.			cơ quan có thẩm quyền
describe	verb	/dɪˈskraɪb/	to say what somebody/something is like	She describes herself as an artist.			mô tả
entire	adj	/ɪnˈtaɪə(r)/	(used when you are emphasizing that the whole of something is involved) including everything, everyone or every part	The entire village was destroyed.	whole		toàn bộ, toàn thể
moderately	adv	/ˈmɒdərətli/	to an average extent; fairly but not very		reasonably		một cách vừa phải
spectrum	noun	/ˈspektrəm/	a band of coloured lights in order of their wavelengths, as seen in a rainbow and into which light may be separated	Red and violet are at opposite ends of the spectrum.			dải quang phổ, phạm vi
remain	verb	/rɪˈmeɪn/	continue to be something; to be still in the same state or condition	Energy prices might remain high.			vẫn là, ở lại
against	prep	/əˈɡenst/	opposing or disagreeing with somebody/something	I'd advise you against doing that.			chống lại, phản đối
suffer	verb	/ˈsʌfə(r)/	to be badly affected by a disease, pain, sad feelings, a lack of something, etc.				chịu đựng, khổ sở
expenditure	noun	/ɪkˈspendɪtʃə(r)/	the act of spending or using money; an amount of money spent	The budget provided for a total expenditure of £27 billion.			chi tiêu, chi phí
ignore	verb	/ɪɡˈnɔː(r)/	to pay no attention to something	We cannot afford to ignore their advice.			phớt lờ, bỏ qua
crownd	noun	/kraud/	a number of persons or things gathered together	A crowd of people gathered in the street.			đám đông
jam	verb	/dʒӕm/	to crowd full	The gateway to the embassy was jammed			kẹt cứng, nhồi nhét
entrance	noun	/ˈentrəns/	a place of entering, eg an opening, a door etc	the entrance to the tunnel			lối vào, cổng vào
fantastic	adj	/fӕnˈtӕstik/	wonderful; very good	You look fantastic!	great, brilliant		tuyệt vời
miraculous	adj	/mɪˈrækjələs/	like a miracle; completely unexpected and very lucky	She's made a miraculous recovery.	extraordinary, phenomenal		kỳ diệu
leather	noun	/ˈleðə(r)/	the skin of an animal prepared for making clothes, luggage etc	These shoes are made of leather			da thuộc
manufacturer	noun	/ˌmænjuˈfæktʃərə(r)/	a person or firm that manufactures goods	He is a carpet manufacturer	maker		nhà sản xuất
reservoir	noun	/ˈrezəvwɑː(r)/	a place in an engine or a machine where a liquid is kept before it is used	this is a oil reservoir			bình chứa, hồ chứa
commercially	adv	/kəˈmɜːʃəli/	in a way that is connected with the buying and selling of goods and services	The product is not commercially available.			về mặt thương mại
associate	verb	/əˈsəʊsieɪt/	to make a connection between people or things in your mind	I always associate the smell of baking with my childhood.			liên kết, gắn liền
evidence	noun	/ˈevɪdəns/	information etc that gives reason for believing something; proof	Have you enough evidence to arrest him?			bằng chứng
equivalent	noun	/ɪˈkwɪvələnt/	a thing, amount, word, etc. that is equal in value, meaning or purpose to something else	the modern equivalent of the Roman baths			tương đương
bladder	noun	/ˈblædə(r)/	the bag-like part of the body in which the urine collects	She suffers from a weak bladder.			bàng quang
violent	adj	/ˈvaɪələnt/	involving or caused by physical force that is intended to hurt or kill somebody	The crowd suddenly turned violent.			hung bạo, dữ dội
injury	noun	/ˈɪndʒəri/	harm done to a person’s or an animal’s body, for example in an accident	The motorcyclist received severe injuries in the crash			chấn thương
archery	noun	/ˈɑːtʃəri/	the art or sport of shooting arrows with a bow	He took up archery eight years ago.			môn bắn cung
particularly	adv	/pəˈtɪkjələli/	especially; more than usual or more than others	I enjoyed the play, particularly the second half.			đặc biệt là
further	adj	/ˈfɜːðə(r)/	more; additional	We have decided to take no further action.			thêm nữa, bổ sung
eventually	adv	/ɪˈventʃuəli/	at the end of a period of time or a series of events	I'll get round to mending it eventually.			cuối cùng
lift	verb	/lɪft/	to remove or end controls or limits	The government decided to lift the ban on old exports.			dỡ bỏ, nâng lên
fanatical	adj	/fəˈnæt.ɪ.kəl/	extremely interested in something, to a degree that some people find unreasonable	Gary's fanatical about football.			cuồng nhiệt, cực đoan
sign	noun	/sain/	a mark used to mean something; a symbol	This  is the sign for addition			dấu hiệu, ký hiệu
mental	adj	/ˈmentl/	of the mind	she has a mental disorders			tinh thần, tâm lý
laziness	noun	/ˈleɪ.zi.nəs/	the fact of being unwilling to work or be active	She is intolerant of laziness and always pushes her students.			sự lười biếng
weak	adj	/wiːk/	lacking in physical strength	Her illness has made her very weak.			yếu, thiếu sức mạnh
versus	prep	/ˈvəːsəs/	used to show that two teams or sides are against each other	the England versus Wales rugby match.			đối với, so với
wealth	noun	/welθ/	a large amount of money, property, etc. that a person or country owns	He is a man of great wealth.	rich		của cải, sự giàu có
fortunate	adj	/ˈfɔːtʃənət/	having or bringing an advantage, an opportunity, a piece of good luck, etc.	It was fortunate that no-one was killed in the accident.	lucky		may mắn
punish	verb	/ˈpaniʃ/	to give punishment for	The teachers punishes their student.			trừng phạt
asset	noun	/ˈӕset/	anything useful or valuable; an advantage	He is a great asset to the school.			tài sản, lợi thế
liability	noun	/ˌlaɪ.əˈbɪl.ə.ti/	the state of being legally responsible for something	The company has liabilities to its employees.			trách nhiệm pháp lý
retirement	noun	/rɪˈtaɪəmənt/	the act of retiring from work	It is not long till his retirement.			nghỉ hưu
perk	noun	/pɜːk/	an advantage or something extra, such as money or goods, that you are given because of your job	A company car and a mobile phone are some of the perks that come with the job.			đặc quyền, phúc lợi
entitlement	noun	/ɪnˈtaɪ.təl.mənt/	something that you have a right to do or have, or the right to do or have something	The post comes with the standard holiday entitlements.			quyền lợi
privilege	noun	/ˈprɪv.əl.ɪdʒ/	an advantage that only one person or group of people has, usually because of their position or because they are rich	Healthcare should be a right, not a privilege			đặc quyền
tenure	noun	/ˈten.jər/	the right to stay permanently in your job, especially as a teacher at a university	She has been granted tenure at Leeds University.			biên chế, nhiệm kỳ
