Vocabulary	Week	Type	Phonetic	Definition	Example	Synonym	Antonym	Vietnamese
predict	1	verb	/prɪˈdɪkt/	to say that something will happen in the future	Nobody could predict this war's outcome			dự đoán
optimize	1	verb	/ˈɑːptɪmaɪz/	optimize something to make something as good as it can be; to use something in the best possible way	I optimized my workflow			tối ưu hóa
approach	1	noun	/əˈprəʊtʃ/	a way of dealing with somebody/something; a way of doing or thinking about something such as a problem or a task	She took the wrong approach in her dealings with them.			cách tiếp cận
transparent	1	adj	/trænsˈpærənt/	easy to understand	a campaign to make official documents more transparent			minh bạch, rõ ràng
norm	1	noun	/nɔːrm/	a situation or a pattern of behaviour that is usual or expected	The norm was set in my workplace			chuẩn mực
collaborative	1	adj	/kəˈlæbəreɪtɪv/	involving, or done by, several people or groups of people working together	i have a collaborative project with my friends			hợp tác, cộng tác
accomplish	1	verb	/əˈkɑːmplɪʃ/	to succeed in doing or completing something	I need more focus to accomplish tasks.			hoàn thành, đạt được
consequence	1	noun	/ˈkɑːnsɪkwens/	a result of something that has happened, especially an unpleasant result				hậu quả
hurt	1	verb	/hɜːrt/	to have a bad effect on somebody/something	the rain hurt my mood			gây hại, làm đau
amorphous	1	adj	/əˈmɔːrfəs/	having no definite shape, form or structure		shapeless		vô định hình
incredibly	1	adv	/ɪnˈkredəbli/	extremely important or necessary				vô cùng, cực kỳ
gauge	1	noun	/ɡeɪdʒ/	an instrument for measuring the amount or level of something	all car have fuel gauges			đồng hồ đo, thước đo
incentivize	1	verb	/ɪnˈsentɪvaɪz/	to encourage somebody to behave in a particular way by offering them a reward				tạo động lực
incongruity	1	noun	/ˌɪnkənˈɡruːəti/	the fact of being strange and not suitable in a situation	This incongruity was a huge source of stress			sự không phù hợp
alleviate	1	verb	/əˈliːvieɪt/	to make something less severe				giảm bớt, làm dịu
boon	1	noun	/buːn/	something that is very helpful and makes life easier for you				điều may mắn, lợi ích
equate	1	verb	/ɪˈkweɪt/	to think that something is the same as something else or is as important				đánh đồng, coi ngang bằng
burnout	1	noun	/ˈbɜːnaʊt/	the state of being extremely tired or ill, either physically or mentally, because you have worked too hard				kiệt sức
turnover	1	noun	ˈtɜːrnəʊvər/	he rate at which employees leave a company and are replaced by other people				tỉ lệ thay thế nhân sự
shoehorn	1	verb	/ˈʃuːhɔːn/	to succeed in putting something into a small space or a place where it does not fit very easily	The managers are shoehorning their employees into ineffective meetings			nhét vào, cố nhồi nhét
strict	1	adj	/strɪkt/	that must be obeyed exactly				nghiêm ngặt
effort	1	noun	/ˈefərt/	an attempt to do something especially when it is difficult to do				nỗ lực, cố gắng
orchestrate	1	verb	/ˈɔːrkɪstreɪt/	to organize a complicated plan or event very carefully or secretly				sắp xếp, điều phối
concern	2	verb	/kənˈsəːn/	to have to do with	This order doesn't concern me			liên quan đến
extreme	2	adj	/ikˈstriːm/	very great, especially much more than usual	He is in extreme pain			cực đoan, rất nhiều
curious	2	adj	/ˈkjuəriəs/	having a strong desire to know about something	He is such a curious boy, always asking questions.			tò mò
intrigued	2	adj	/ɪnˈtriːɡd/	very interested in something/somebody and wanting to know more about it/them	He was intrigued by her story.			tò mò, bị thu hút
reflect	2	verb	/rɪˈflekt/	to think carefully and deeply about something	Before I decide, I need time to reflect.			suy ngẫm, phản chiếu
scholastic	2	adj	/skəˈlæstɪk/	connected with schools and education				thuộc về học đường
staggering	2	adj	/ˈstæɡərɪŋ/	so great, shocking or surprising that it is difficult to believe	They paid a staggering £5 million for the house.	astounding		choáng ngợp, kinh ngạc
due	2	adj	/djuː/	caused by somebody/something; because of somebody/something (due to somebody/something)	The team's success was largely due to her efforts.			do, vì, nhờ
afford	2	verb	/əˈfɔːd/	to have enough money to be able to buy or do something	She can well afford to pay for herself.			có đủ tiền để
forbid	2	verb	/fəˈbɪd/	to order somebody not to do something; to order that something must not be done	You cannot do that. I absolutely forbid it.		allow, permit	cấm
insist	2	verb	/ɪnˈsɪst/	to demand that something happen or that somebody agree to do something				khăng khăng, nhấn mạnh
statement	2	noun	/ˈsteɪtmənt/	something that you say or write that gives information or an opinion				tuyên bố, phát biểu
climb	2	verb	/klaɪm/	to increase in value or amount	The number of new hospital admissions continues to climb			leo trèo, trèo lên
significantly	2	adv	/sɪɡˈnɪfɪkəntli/	in a way that is large or important enough to have an effect on something or to be noticed				đáng kể, rõ rệt
disease	2	noun	/dɪˈziːz/	an illness affecting humans, animals or plants, often caused by infection	In 19th-century England, infectious diseases were the principal cause of death.			bệnh tật
prevention	2	noun	/prɪˈvenʃn/	the act of stopping something bad from happening				phòng ngừa
hospitalization	2	noun	/ˌhɒspɪtəlaɪˈzeɪʃn/	the fact of having to stay in a hospital for treatment				nhập viện
positive	2	noun	/ˈpɒzətɪv/	the result of a test or an experiment that shows that a substance or condition is present	The result can be a positive			tích cực
spread	2	noun	/spred/	an increase in the amount or number of something that there is, or in the area that is affected by something	The measures to halt the spread of the disease			lan rộng, lây lan
authority	2	noun	/ɔːˈθɒrəti/	the people or an organization who have the power to make decisions or who have a particular area of responsibility in a country or region	I have to report this to the authorities.			cơ quan có thẩm quyền
describe	2	verb	/dɪˈskraɪb/	to say what somebody/something is like	She describes herself as an artist.			mô tả
entire	2	adj	/ɪnˈtaɪə(r)/	(used when you are emphasizing that the whole of something is involved) including everything, everyone or every part	The entire village was destroyed.	whole		toàn bộ, toàn thể
moderately	2	adv	/ˈmɒdərətli/	to an average extent; fairly but not very		reasonably		một cách vừa phải
spectrum	2	noun	/ˈspektrəm/	a band of coloured lights in order of their wavelengths, as seen in a rainbow and into which light may be separated	Red and violet are at opposite ends of the spectrum.			dải quang phổ, phạm vi
remain	2	verb	/rɪˈmeɪn/	continue to be something; to be still in the same state or condition	Energy prices might remain high.			vẫn là, ở lại
against	2	prep	/əˈɡenst/	opposing or disagreeing with somebody/something	I'd advise you against doing that.			chống lại, phản đối
suffer	2	verb	/ˈsʌfə(r)/	to be badly affected by a disease, pain, sad feelings, a lack of something, etc.				chịu đựng, khổ sở
expenditure	2	noun	/ɪkˈspendɪtʃə(r)/	the act of spending or using money; an amount of money spent	The budget provided for a total expenditure of £27 billion.			chi tiêu, chi phí
ignore	2	verb	/ɪɡˈnɔː(r)/	to pay no attention to something	We cannot afford to ignore their advice.			phớt lờ, bỏ qua
crownd	3	noun	/kraud/	a number of persons or things gathered together	A crowd of people gathered in the street.			đám đông
jam	3	verb	/dʒӕm/	to crowd full	The gateway to the embassy was jammed			kẹt cứng, nhồi nhét
entrance	3	noun	/ˈentrəns/	a place of entering, eg an opening, a door etc	the entrance to the tunnel			lối vào, cổng vào
fantastic	3	adj	/fӕnˈtӕstik/	wonderful; very good	You look fantastic!	great, brilliant		tuyệt vời
miraculous	3	adj	/mɪˈrækjələs/	like a miracle; completely unexpected and very lucky	She's made a miraculous recovery.	extraordinary, phenomenal		kỳ diệu
leather	3	noun	/ˈleðə(r)/	the skin of an animal prepared for making clothes, luggage etc	These shoes are made of leather			da thuộc
manufacturer	3	noun	/ˌmænjuˈfæktʃərə(r)/	a person or firm that manufactures goods	He is a carpet manufacturer	maker		nhà sản xuất
reservoir	3	noun	/ˈrezəvwɑː(r)/	a place in an engine or a machine where a liquid is kept before it is used	this is a oil reservoir			bình chứa, hồ chứa
commercially	3	adv	/kəˈmɜːʃəli/	in a way that is connected with the buying and selling of goods and services	The product is not commercially available.			về mặt thương mại
associate	3	verb	/əˈsəʊsieɪt/	to make a connection between people or things in your mind	I always associate the smell of baking with my childhood.			liên kết, gắn liền
evidence	3	noun	/ˈevɪdəns/	information etc that gives reason for believing something; proof	Have you enough evidence to arrest him?			bằng chứng
equivalent	3	noun	/ɪˈkwɪvələnt/	a thing, amount, word, etc. that is equal in value, meaning or purpose to something else	the modern equivalent of the Roman baths			tương đương
bladder	3	noun	/ˈblædə(r)/	the bag-like part of the body in which the urine collects	She suffers from a weak bladder.			bàng quang
violent	3	adj	/ˈvaɪələnt/	involving or caused by physical force that is intended to hurt or kill somebody	The crowd suddenly turned violent.			hung bạo, dữ dội
injury	3	noun	/ˈɪndʒəri/	harm done to a person’s or an animal’s body, for example in an accident	The motorcyclist received severe injuries in the crash			chấn thương
archery	3	noun	/ˈɑːtʃəri/	the art or sport of shooting arrows with a bow	He took up archery eight years ago.			môn bắn cung
particularly	3	adv	/pəˈtɪkjələli/	especially; more than usual or more than others	I enjoyed the play, particularly the second half.			đặc biệt là
further	3	adj	/ˈfɜːðə(r)/	more; additional	We have decided to take no further action.			thêm nữa, bổ sung
eventually	3	adv	/ɪˈventʃuəli/	at the end of a period of time or a series of events	I'll get round to mending it eventually.			cuối cùng
lift	3	verb	/lɪft/	to remove or end controls or limits	The government decided to lift the ban on old exports.			dỡ bỏ, nâng lên
fanatical	3	adj	/fəˈnæt.ɪ.kəl/	extremely interested in something, to a degree that some people find unreasonable	Gary's fanatical about football.			cuồng nhiệt, cực đoan
sign	3	noun	/sain/	a mark used to mean something; a symbol	This  is the sign for addition			dấu hiệu, ký hiệu
mental	3	adj	/ˈmentl/	of the mind	she has a mental disorders			tinh thần, tâm lý
laziness	3	noun	/ˈleɪ.zi.nəs/	the fact of being unwilling to work or be active	She is intolerant of laziness and always pushes her students.			sự lười biếng
weak	3	adj	/wiːk/	lacking in physical strength	Her illness has made her very weak.			yếu, thiếu sức mạnh
versus	3	prep	/ˈvəːsəs/	used to show that two teams or sides are against each other	the England versus Wales rugby match.			đối với, so với
wealth	3	noun	/welθ/	a large amount of money, property, etc. that a person or country owns	He is a man of great wealth.	rich		của cải, sự giàu có
fortunate	3	adj	/ˈfɔːtʃənət/	having or bringing an advantage, an opportunity, a piece of good luck, etc.	It was fortunate that no-one was killed in the accident.	lucky		may mắn
punish	3	verb	/ˈpaniʃ/	to give punishment for	The teachers punishes their student.			trừng phạt
asset	3	noun	/ˈӕset/	anything useful or valuable; an advantage	He is a great asset to the school.			tài sản, lợi thế
liability	3	noun	/ˌlaɪ.əˈbɪl.ə.ti/	the state of being legally responsible for something	The company has liabilities to its employees.			trách nhiệm pháp lý
retirement	3	noun	/rɪˈtaɪəmənt/	the act of retiring from work	It is not long till his retirement.			nghỉ hưu
perk	3	noun	/pɜːk/	an advantage or something extra, such as money or goods, that you are given because of your job	A company car and a mobile phone are some of the perks that come with the job.			đặc quyền, phúc lợi
entitlement	3	noun	/ɪnˈtaɪ.təl.mənt/	something that you have a right to do or have, or the right to do or have something	The post comes with the standard holiday entitlements.			quyền lợi
privilege	3	noun	/ˈprɪv.əl.ɪdʒ/	an advantage that only one person or group of people has, usually because of their position or because they are rich	Healthcare should be a right, not a privilege			đặc quyền
tenure	3	noun	/ˈten.jər/	the right to stay permanently in your job, especially as a teacher at a university	She has been granted tenure at Leeds University.			biên chế, nhiệm kỳ
consume	3	verb	/kənˈsjuːm/	to use something, especially fuel, energy or time	The electricity industry consumes large amounts of fossil fuels.			tiêu thụ, sử dụng
congested	3	adj	/kənˈdʒestɪd/	crowded; full of traffic	Many of Europe's airports are heavily congested.			tắc nghẽn, đông đúc
emission	3	noun	/ɪˈmɪʃn/	an amount of a substance that is produced and sent out into the air that is harmful to the environment, especially carbon dioxide	These health risks are caused by vehicle emissions.			khí thải
occur	3	verb	/əˈkɜː(r)/	to happen	Something unexpected occurred.			xảy ra, xuất hiện
bleak	4	adj	/bliːk/	not hopeful or encouraging	The job market looks bleak for new graduates.	grim	bright	u ám, không có triển vọng
illustration	4	noun	/ˌɪləˈstreɪʃn/	a picture or drawing used to explain or decorate something	The children's book has beautiful illustrations.	drawing		hình minh họa
attend	4	verb	/əˈtend/	to be present at an event	She will attend a meeting this morning.		miss	tham dự, có mặt
settle	4	verb	/ˈsetl/	to decide on something after thinking	He finally settled on studying medicine.	decide	hesitate	quyết định, ổn định
nonsensical	4	adj	/nɒnˈsensɪkl/	having no meaning; making no sense	His excuse was completely nonsensical.	absurd	logical	vô nghĩa, phi lý
progress	4	verb	/prəˈɡres/	to develop or move forward over time	Technology has progressed rapidly in recent years.	advance	decline	tiến bộ, phát triển
foundation	4	noun	/faʊnˈdeɪʃn/	a basic course of study; the basis of something	She completed a foundation course before university.	basis		nền tảng, cơ sở
psychology	4	noun	/saɪˈkɒlədʒi/	the study of the human mind and behaviour	He studied psychology at university.			tâm lý học
doubtful	4	adj	/ˈdaʊtfl/	feeling uncertain or unsure	I'm doubtful that it will rain today.	uncertain	confident	nghi ngờ, không chắc
artificial	4	adj	/ˌɑːtɪˈfɪʃl/	made by humans, not natural	This cake uses artificial colours.	man-made	natural	nhân tạo, giả tạo
intelligence	4	noun	/ɪnˈtelɪdʒəns/	the ability to learn and understand things	She showed great intelligence as a child.	intellect	ignorance	trí tuệ, trí thông minh
exhibit	4	verb	/ɪɡˈzɪbɪt/	to display something publicly	Her paintings were exhibited in a local gallery.	display	hide	trưng bày, triển lãm
gallery	4	noun	/ˈɡæləri/	a building where art is displayed	We visited a gallery during our trip to London.	museum		phòng trưng bày nghệ thuật
artist	4	noun	/ˈɑːtɪst/	a person who creates art	Many artists now use digital tools for their work.	creator		nghệ sĩ
neaten	4	verb	/ˈniːtn/	to make something tidy	Please neaten your desk before you leave.			sắp xếp gọn gàng
depressing	4	adj	/dɪˈpresɪŋ/	making you feel sad and without hope	The rainy weather is so depressing.	sad	cheerful	u ám, gây chán nản
element	4	noun	/ˈelɪmənt/	an important part of something	Teamwork is a key element of success.	component		yếu tố, thành phần
harbour	4	verb	/ˈhɑːbə(r)/	to keep thoughts or feelings secretly in one's mind	She has been harbouring doubts about the plan.	hold	release	che giấu, ấp ủ
firmly	4	adv	/ˈfɜːmli/	in a strong and steady way	He firmly believes in hard work.	strongly	weakly	kiên định, vững chắc
objective	4	adj	/əbˈdʒektɪv/	not influenced by personal feelings; fair	Try to be objective when making decisions.	fair	biased	khách quan
thrive	4	verb	/θraɪv/	to grow and be successful	Plants thrive in warm sunlight.	flourish	struggle	phát triển mạnh, thịnh vượng
contender	4	noun	/kənˈtendə(r)/	a person who competes for something	There are five contenders for the job.	competitor		ứng viên cạnh tranh
adaptable	4	adj	/əˈdæptəbl/	able to adjust to new situations	She is very adaptable and learns quickly.	flexible	rigid	dễ thích nghi
niche	4	noun	/niːʃ/	a specialised area of activity	He found his niche in web design.	speciality		lĩnh vực riêng, ngách
angle	4	noun	/ˈæŋɡl/	a particular way of looking at a problem	Let's think about this from a different angle.	perspective		góc nhìn, khía cạnh
nuance	4	noun	/ˈnjuːɑːns/	a small but important difference in meaning	He understood every nuance of the language.	subtlety		sắc thái, chi tiết tinh tế
emotion	4	noun	/ɪˈməʊʃn/	a strong feeling such as joy, anger, or sadness	She could not hide her emotion during the speech.	feeling	indifference	cảm xúc
robotic	4	adj	/rəʊˈbɒtɪk/	mechanical and lacking human warmth	His voice sounded cold and robotic.	mechanical	natural	máy móc, thiếu cảm xúc
advocate	4	verb	/ˈædvəkeɪt/	to publicly support or recommend something	She advocates eating healthy food every day.	support	oppose	ủng hộ, vận động
realism	4	noun	/ˈrɪəlɪzəm/	accepting things as they really are	We need a bit of realism when planning the budget.	pragmatism	idealism	chủ nghĩa hiện thực, thực tế
resilient	4	adj	/rɪˈzɪliənt/	able to recover quickly from difficulties	Children are often more resilient than adults think.	tough	fragile	kiên cường, dễ phục hồi
merit	4	noun	/ˈmerɪt/	the quality of being good or worthy	The idea has merit and is worth trying.	value		ưu điểm, giá trị
solidify	4	verb	/səˈlɪdɪfaɪ/	to make stronger or more certain	The experience solidified her decision to become a doctor.	strengthen	weaken	củng cố, làm vững chắc
acknowledge	4	verb	/əkˈnɒlɪdʒ/	to accept or admit something is true	He acknowledges that he made a mistake.	admit	deny	thừa nhận, công nhận
prospect	4	noun	/ˈprɒspekt/	a chance for future success	Job prospects for IT graduates are very good.	opportunity		triển vọng, cơ hội
bric-a-brac	4	noun	/ˈbrɪk ə bræk/	miscellaneous small items of little value	The shop sells old bric-a-brac and antiques.			đồ lặt vặt, đồ linh tinh
fear	4	verb	/fɪə(r)/	to be afraid that something bad will happen	I fear that we will be late for the meeting.	worry	hope	lo sợ, e ngại
advent	4	noun	/ˈædvent/	the arrival of something important	The advent of smartphones changed how we communicate.	arrival	end	sự xuất hiện, sự ra đời
enter	4	verb	/ˈentə(r)/	to go into a place or start something new	She is entering the workforce for the first time.	join	leave	gia nhập, bước vào
emulate	4	verb	/ˈemjuleɪt/	to try to copy or match something	The new software emulates the human brain.	imitate		mô phỏng, noi gương
leery	4	adj	/ˈlɪəri/	cautious because of suspicion or doubt	I'm leery of deals that seem too good to be true.	wary	trusting	dè chừng, nghi ngại
involve	4	verb	/ɪnˈvɒlv/	to include as a necessary part	The job involves a lot of travelling.	include	exclude	liên quan đến, bao gồm
bias	4	noun	/ˈbaɪəs/	an unfair preference for or against something	AI systems can have bias in their results.	prejudice	fairness	định kiến, thiên vị
keen	4	adj	/kiːn/	eager and enthusiastic	She is keen to learn new skills.	eager	reluctant	hào hứng, nhiệt tình
self-reliance	4	noun	/ˌself rɪˈlaɪəns/	the ability to depend on yourself and not need help from others	Learning to cook is a step toward self-reliance.	independence	dependence	tự lực, tự chủ
needy	4	adj	/ˈniːdi/	lacking money, food, or other basic things to live	The charity provides food for needy families.	poor	wealthy	túng thiếu, nghèo khó
emphatic	4	adj	/ɪmˈfætɪk/	expressing something strongly and clearly	She was emphatic that the rules must be followed.	firm	hesitant	dứt khoát, mạnh mẽ
competent	4	adj	/ˈkɒmpɪtənt/	having enough skill or knowledge to do something well	He is competent in managing his own finances.	capable	incompetent	có năng lực, đủ khả năng
impressive	4	adj	/ɪmˈpresɪv/	making you feel admiration because of quality or skill	She has an impressive collection of qualifications.	remarkable	ordinary	ấn tượng
prophesy	4	noun	/ˈprɒfəsi/	a statement about what will happen in the future	His words became a prophesy that came true.	prediction		lời tiên tri
flat broke	4	adj phrase	/flæt brəʊk/	having no money at all	After paying all the bills, I was flat broke.	penniless	wealthy	cháy túi, không còn xu nào
setback	4	noun	/ˈsetbæk/	a problem that delays or prevents progress	Losing his job was a major setback for the family.	obstacle	breakthrough	trở ngại, thất bại tạm thời
temporary	4	adj	/ˈtemprəri/	lasting for only a short time; not permanent	This is just a temporary solution to the problem.		permanent	tạm thời
eternal	4	adj	/ɪˈtɜːnl/	lasting forever; without end	Some people believe in eternal life after death.	endless	temporary	vĩnh cửu, bất diệt
express	4	verb	/ɪkˈspres/	to show a feeling or idea through words or actions	He expressed his opinion clearly during the meeting.	convey	hide	bày tỏ, thể hiện
attorney	4	noun	/əˈtɜːni/	a person who is qualified to practise law; a lawyer	She hired an attorney to handle the case.	lawyer		luật sư
repeat	4	verb	/rɪˈpiːt/	to say or do something again	Could you repeat the question, please?			lặp lại
plant	4	noun	/plɑːnt/	a factory or place where industrial processes take place	He works at a car plant outside the city.	factory		nhà máy, xí nghiệp
fluctuation	4	noun	/ˌflʌktʃuˈeɪʃn/	an irregular change in level, amount, or rate	There are large fluctuations in temperature during the day.	change	stability	sự biến động, dao động
possible	4	adj	/ˈpɒsəbl/	able to be done or achieved	It is possible to learn a new language in one year.	achievable	impossible	có thể, khả thi
humidity	4	noun	/hjuːˈmɪdəti/	the amount of moisture in the air	The humidity in Ho Chi Minh City is very high.	moisture	dryness	độ ẩm
textile	4	noun	/ˈtekstaɪl/	a type of cloth or woven fabric	Vietnam is one of the world's largest exporters of textiles.	fabric		vải, hàng dệt may
pharmaceutical	4	noun	/ˌfɑːməˈsuːtɪkl/	a medicine or drug; a company that produces them	She works for a pharmaceutical company.	medicine		dược phẩm
widespread	4	adj	/ˈwaɪdspred/	found over a large area; very common	The use of smartphones is now widespread.	common	rare	phổ biến, rộng rãi
money-conscious	4	adj	/ˈmʌni ˈkɒnʃəs/	very careful about how money is spent	Money-conscious shoppers always compare prices.	thrifty	wasteful	tiết kiệm, cẩn thận chi tiêu
factor	4	noun	/ˈfæktə(r)/	one of the things that causes or influences something	Pollution is a major factor in climate change.	cause		yếu tố, nhân tố
admit	4	verb	/ədˈmɪt/	to accept or agree that something is true, often unwillingly	He admits that the project has some problems.	acknowledge	deny	thừa nhận, công nhận
pleasant	5	adj	/ˈpleznt/	enjoyable or giving a feeling of comfort	The weather today is very pleasant.	enjoyable	unpleasant	dễ chịu, thú vị
plant	5	noun	/plɑːnt/	a factory or place where industrial processes take place	He works at a car plant outside the city.	factory		nhà máy, xí nghiệp
fluctuation	5	noun	/ˌflʌktʃuˈeɪʃn/	an irregular change in level, amount, or rate	There are large fluctuations in temperature during the day.	change	stability	sự biến động, dao động
possible	5	adj	/ˈpɒsəbl/	able to be done or achieved	It is possible to learn a new language in one year.	achievable	impossible	có thể, khả thi
humidity	5	noun	/hjuːˈmɪdəti/	the amount of moisture in the air	The humidity in Ho Chi Minh City is very high.	moisture	dryness	độ ẩm
textile	5	noun	/ˈtekstaɪl/	a type of cloth or woven fabric	Vietnam is one of the world's largest exporters of textiles.	fabric		vải, hàng dệt may
pharmaceutical	5	noun	/ˌfɑːməˈsuːtɪkl/	a medicine or drug; a company that produces them	She works for a pharmaceutical company.	medicine		dược phẩm
widespread	5	adj	/ˈwaɪdspred/	found over a large area; very common	The use of smartphones is now widespread.	common	rare	phổ biến, rộng rãi
money-conscious	5	adj	/ˈmʌni ˈkɒnʃəs/	very careful about how money is spent	Money-conscious shoppers always compare prices.	thrifty	wasteful	tiết kiệm, cẩn thận chi tiêu
factor	5	noun	/ˈfæktə(r)/	one of the things that causes or influences something	Pollution is a major factor in climate change.	cause		yếu tố, nhân tố
admit	5	verb	/ədˈmɪt/	to accept that something is true, often unwillingly	He admits that the project has some problems.	acknowledge	deny	thừa nhận, công nhận
nutrient	5	noun	/ˈnjuːtriənt/	a substance that living things need to grow and stay healthy	Water is a vital nutrient for the human body.	nourishment		chất dinh dưỡng
thirsty	5	adj	/ˈθɜːsti/	feeling a need to drink	After running, I felt very thirsty.			khát nước
rough	5	adj	/rʌf/	not exact; approximate	Eight glasses a day is a good rough guide.	approximate	exact	xấp xỉ, ước chừng
dieter	5	noun	/ˈdaɪətə(r)/	a person who is trying to lose weight by eating less	Dieters should drink more water before meals.			người ăn kiêng
appetite	5	noun	/ˈæpɪtaɪt/	the desire or feeling of wanting to eat	The water filled them up and reduced their appetite.	hunger		cảm giác thèm ăn
stomach	5	noun	/ˈstʌmək/	the organ where food is digested	Water is good for the stomach.			dạ dày
digestion	5	noun	/daɪˈdʒestʃən/	the process of breaking down food in the body	Water increases the rate of digestion.			sự tiêu hóa
investigate	5	verb	/ɪnˈvestɪɡeɪt/	to examine or study something carefully	The study was investigating the effects of dehydration.	examine		điều tra, nghiên cứu
dehydration	5	noun	/ˌdiːhaɪˈdreɪʃn/	the condition of not having enough water in the body	Dehydration can cause headaches and tiredness.		hydration	mất nước, thiếu nước
indicate	5	verb	/ˈɪndɪkeɪt/	to show or point out	The study indicated that dehydration affects temperature control.	show		chỉ ra, cho thấy
regulate	5	verb	/ˈreɡjuleɪt/	to control or maintain the level of something	The body needs water to regulate its temperature.	control		điều chỉnh, kiểm soát
compromise	5	verb	/ˈkɒmprəmaɪz/	to weaken or reduce the quality of something	Their ability to regulate temperature was compromised.	weaken	strengthen	làm suy yếu, ảnh hưởng xấu
contender	5	noun	/kənˈtendə(r)/	a person or thing competing for something	There are six contenders for the prize.	competitor		ứng viên cạnh tranh
isle	5	noun	/aɪl/	an island	They built a house on the Isle of Wight.	island		hòn đảo
chastely	5	adv	/ˈtʃeɪstli/	in a simple and plain way, without too much decoration	The old church was chastely converted into a community centre.	simply		một cách giản dị, thanh tao
louche	5	adj	/luːʃ/	not respectable but attractive in an exciting way	The bar had a louche atmosphere.			phóng túng nhưng hấp dẫn
shed	5	noun	/ʃed/	a small simple building used for storing things	They keep their tools in the garden shed.	hut		nhà kho, lán trại
comparison	5	noun	/kəmˈpærɪsn/	the act of comparing two or more things	The comparison between the two designs is interesting.			sự so sánh
shortlist	5	noun	/ˈʃɔːtlɪst/	a small list of candidates chosen from a larger group	The building made it to the shortlist.			danh sách rút gọn
